Banner,UPC,Kansas,New York,Northern California,Texas
Kroger,11873171.0,,,,
Kroger,15052612.0,,,,
Kroger,16482322.0,,,,
Kroger,16729338.0,,,,
Kroger,16829288.0,,,,
Kroger,16900911.0,,,,
Kroger,16999755.0,,,,
Kroger,17066659.0,,,,
Kroger,19696884.0,,,,
Kroger,19911643.0,,,,
Kroger,19982129.0,,,,
Kroger,21872584.0,,,,
Kroger,22132676.0,,,,
Kroger,22976162.0,,,,
Kroger,23493525.0,,,,
Kroger,24764365.0,,,,
Kroger,25023603.0,,,,
Kroger,25313327.0,,,,
Kroger,26132370.0,,,,
Kroger,26791818.0,,,,
Kroger,26959766.0,,,,
Kroger,27595398.0,,,,
Kroger,27866264.0,,,,
Kroger,35072231.0,,,,
Kroger,38126522.0,,,,
Kroger,38399923.0,,,,
Kroger,39408244.0,,,,
Kroger,39601228.0,,,,
Kroger,40555797.0,,,,
Kroger,41066545.0,,,,
Kroger,43366358.0,,,,
Kroger,44053660.0,,,,
Kroger,44276570.0,,,,
Kroger,44385546.0,,,,
Kroger,45509167.0,,,,
Kroger,45824749.0,,,,
Kroger,45845527.0,,,,
Kroger,47158754.0,,,,
Kroger,47174618.0,,,,
Kroger,48013704.0,,,,
Kroger,48258595.0,,,,
Kroger,51294147.0,,,,
Kroger,52851370.0,,,,
Kroger,53317855.0,,,,
Kroger,54236183.0,,,,
Kroger,54548062.0,,,,
Kroger,55404606.0,,,,
Kroger,55833407.0,,,,
Kroger,56176612.0,,,,
Kroger,57394222.0,,,,
Kroger,57714338.0,,,,
Kroger,58785197.0,,,,
Kroger,59479815.0,,,,
Kroger,60042797.0,,,,
Kroger,60168857.0,,,,
Kroger,60193187.0,,,,
Kroger,60912855.0,,,,
Kroger,61278034.0,,,,
Kroger,61566790.0,,,,
Kroger,62068892.0,,,,
Kroger,62563085.0,,,,
Kroger,63494206.0,,,,
Kroger,65837987.0,,,,
Kroger,66025021.0,,,,
Kroger,68034486.0,,,,
Kroger,69037528.0,,,,
Kroger,69584995.0,,,,
Kroger,70124770.0,,,,
Kroger,70324549.0,,,,
Kroger,70848410.0,,,,
Kroger,71726448.0,,,,
Kroger,73544548.0,,,,
Kroger,73570156.0,,,,
Kroger,74029795.0,,,,
Kroger,75242878.0,,,,
Kroger,77045464.0,,,,
Kroger,77460052.0,,,,
Kroger,79218866.0,,,,
Kroger,81313305.0,,,,
Kroger,81927167.0,,,,
Kroger,83141336.0,,,,
Kroger,86262532.0,,,,
Kroger,86858655.0,,,,
Kroger,87093736.0,,,,
Kroger,88576101.0,,,,
Kroger,90756884.0,,,,
Kroger,93351329.0,,,,
Kroger,93696286.0,,,,
Kroger,94769945.0,,,,
Kroger,94849573.0,,,,
Kroger,95658838.0,,,,
Kroger,95862680.0,,,,
Kroger,95866554.0,,,,
Kroger,98164748.0,,,,
Kroger,98441419.0,,,,
Kroger,99583114.0,,,,
Kroger,99830442.0,,,,
Kroger,101201265.0,,,,
Kroger,105664025.0,,,,
Kroger,106365705.0,,,,
Kroger,106599165.0,,,,
Kroger,106918220.0,,,,
Kroger,107865183.0,,,,
Kroger,109076038.0,,,,
Kroger,110354720.0,,,,
Kroger,110497121.0,,,,
Kroger,111650456.0,,,,
Kroger,112509592.0,,,,
Kroger,112817865.0,,,,
Kroger,113224794.0,,,,
Kroger,113921219.0,,,,
Kroger,115104280.0,,,,
Kroger,115681900.0,,,,
Kroger,118708197.0,,,,
Kroger,119616993.0,,,,
Kroger,120290503.0,,,,
Kroger,120596009.0,,,,
Kroger,121620235.0,,,,
Kroger,122484761.0,,,,
Kroger,124052151.0,,,,
Kroger,124091247.0,,,,
Kroger,125829867.0,,,,
Kroger,126967843.0,,,,
Kroger,127821311.0,,,,
Kroger,127838957.0,,,,
Kroger,127887048.0,,,,
Kroger,129232150.0,,,,
Kroger,129833275.0,,,,
Kroger,130186387.0,,,,
Kroger,130318597.0,,,,
Kroger,130358296.0,,,,
Kroger,131820869.0,,,,
Kroger,132112942.0,,,,
Kroger,132458395.0,,,,
Kroger,136528713.0,,,,
Kroger,142231691.0,,,,
Kroger,142252924.0,,,,
Kroger,144575642.0,,,,
Kroger,144644625.0,,,,
Kroger,145210517.0,,,,
Kroger,146021511.0,,,,
Kroger,151145905.0,,,,
Kroger,151287985.0,,,,
Kroger,152181269.0,,,,
Kroger,152398257.0,,,,
Kroger,152458350.0,,,,
Kroger,154602616.0,,,,
Kroger,157129774.0,,,,
Kroger,157966725.0,,,,
Kroger,158953776.0,,,,
Kroger,160430177.0,,,,
Kroger,161076622.0,,,,
Kroger,161725486.0,,,,
Kroger,162045248.0,,,,
Kroger,162356142.0,,,,
Kroger,163383455.0,,,,
Kroger,163809044.0,,,,
Kroger,164485660.0,,,,
Kroger,165254790.0,,,,
Kroger,165324638.0,,,,
Kroger,165526080.0,,,,
Kroger,165559469.0,,,,
Kroger,169472387.0,,,,
Kroger,171059624.0,,,,
Kroger,171858013.0,,,,
Kroger,172380215.0,,,,
