,Price,UPC,Banner,Region
4659,43.86,287415946,Walmart,Kansas
4660,16.32,24764365,Walmart,Kansas
4661,10.67,555531366,Walmart,Kansas
4662,15.2,765958220,Walmart,Kansas
4663,12.25,375993782,Walmart,Kansas
4664,12.23,437172755,Walmart,Kansas
4665,40.82,753436797,Walmart,Kansas
4666,22.57,376153383,Walmart,Kansas
4667,40.15,544719559,Walmart,Kansas
4668,34.51,222633181,Walmart,Kansas
4669,28.65,652377244,Walmart,Kansas
4670,28.06,541553073,Walmart,Kansas
4671,21.9,126967843,Walmart,Kansas
4672,36.75,947534594,Walmart,Kansas
4673,37.72,975793603,Walmart,Kansas
4674,7.21,760445497,Walmart,Kansas
4675,11.51,634830299,Walmart,Kansas
4676,40.16,981197816,Walmart,Kansas
4677,42.12,43366358,Walmart,Kansas
4678,34.55,757501813,Walmart,Kansas
4679,19.94,690451660,Walmart,Kansas
4680,15.94,850860889,Walmart,Kansas
4681,18.3,678675568,Walmart,Kansas
4682,52.82,751783597,Walmart,Kansas
4683,24.32,151145905,Walmart,Kansas
4684,8.23,725772193,Walmart,Kansas
4685,7.23,529559570,Walmart,Kansas
4686,50.55,587031338,Walmart,Kansas
4687,8.45,740420827,Walmart,Kansas
4688,48.22,778006625,Walmart,Kansas
4689,51.35,945973686,Walmart,Kansas
4690,46.57,849425547,Walmart,Kansas
4691,51.16,236677062,Walmart,Kansas
4692,15.07,916097175,Walmart,Kansas
4693,2.36,302256456,Walmart,Kansas
4694,9.7,26791818,Walmart,Kansas
4695,15.92,157966725,Walmart,Kansas
4696,53.57,276801250,Walmart,Kansas
4697,43.26,698731992,Walmart,Kansas
4698,21.97,627416688,Walmart,Kansas
4699,2.84,906234211,Walmart,Kansas
4700,35.32,314205929,Walmart,Kansas
4701,44.56,742030365,Walmart,Kansas
4702,7.26,21872584,Walmart,Kansas
4703,37.66,676274385,Walmart,Kansas
4704,39.14,690308756,Walmart,Kansas
4705,36.5,365185443,Walmart,Kansas
4706,12.27,278001228,Walmart,Kansas
4707,30.63,516205909,Walmart,Kansas
4708,35.67,827531126,Walmart,Kansas
4709,11.15,708419030,Walmart,Kansas
4710,40.81,525996730,Walmart,Kansas
4711,39.86,70324549,Walmart,Kansas
4712,51.71,99830442,Walmart,Kansas
4713,33.32,687061455,Walmart,Kansas
4714,32.01,845328666,Walmart,Kansas
4715,7.41,196407931,Walmart,Kansas
4716,12.55,251180255,Walmart,Kansas
4717,43.01,494020899,Walmart,Kansas
4718,3.26,376311065,Walmart,Kansas
4719,40.36,546802474,Walmart,Kansas
4720,41.24,688174297,Walmart,Kansas
4721,24.43,757630984,Walmart,Kansas
4722,19.26,447858500,Walmart,Kansas
4723,17.35,113921219,Walmart,Kansas
4724,23.96,315128578,Walmart,Kansas
4725,28.52,440309024,Walmart,Kansas
4726,48.45,545319478,Walmart,Kansas
4727,46.65,405684153,Walmart,Kansas
4728,25.46,678539677,Walmart,Kansas
4729,15.56,599052834,Walmart,Kansas
4730,7.66,93696286,Walmart,Kansas
4731,31.61,53317855,Walmart,Kansas
4732,45.52,681789308,Walmart,Kansas
4733,43.03,363461563,Walmart,Kansas
4734,22.8,966125119,Walmart,Kansas
4735,4.86,16999755,Walmart,Kansas
4736,35.12,310210791,Walmart,Kansas
4737,52.8,625438627,Walmart,Kansas
4738,51.73,266788198,Walmart,Kansas
4739,4.62,551067349,Walmart,Kansas
4740,53.97,715494692,Walmart,Kansas
4741,44.15,269161785,Walmart,Kansas
4742,46.53,441947799,Walmart,Kansas
4743,48.5,955026913,Walmart,Kansas
4744,29.07,299791600,Walmart,Kansas
4745,23.92,774949377,Walmart,Kansas
4746,4.74,68034486,Walmart,Kansas
4747,41.3,201346142,Walmart,Kansas
4748,13.12,339400596,Walmart,Kansas
4749,48.75,899956196,Walmart,Kansas
4750,20.0,646726630,Walmart,Kansas
4751,28.11,486482090,Walmart,Kansas
4752,52.0,692276824,Walmart,Kansas
4753,18.55,220433295,Walmart,Kansas
4754,35.5,700660531,Walmart,Kansas
4755,43.17,448330081,Walmart,Kansas
4756,31.36,73544548,Walmart,Kansas
4757,22.22,549109328,Walmart,Kansas
4758,34.01,827898456,Walmart,Kansas
4759,9.7,708247357,Walmart,Kansas
4760,33.81,614290704,Walmart,Kansas
4761,21.26,783845705,Walmart,Kansas
4762,40.67,813117592,Walmart,Kansas
4763,45.24,406039511,Walmart,Kansas
4764,32.07,81927167,Walmart,Kansas
4765,23.0,388197861,Walmart,Kansas
4766,27.66,165559469,Walmart,Kansas
4767,14.74,635609352,Walmart,Kansas
4768,3.31,165526080,Walmart,Kansas
4769,10.04,358265858,Walmart,Kansas
4770,6.11,458350008,Walmart,Kansas
4771,30.73,66025021,Walmart,Kansas
4772,8.83,564014969,Walmart,Kansas
4773,15.16,386428225,Walmart,Kansas
4774,28.67,271202170,Walmart,Kansas
4775,13.63,25023603,Walmart,Kansas
4776,34.43,509419735,Walmart,Kansas
4777,21.41,856554674,Walmart,Kansas
4778,18.64,361981249,Walmart,Kansas
4779,15.86,144575642,Walmart,Kansas
