,Price,UPC,Banner,Region
1328,16.89,286906735,Safeway,New York
1329,8.89,672429356,Safeway,New York
1330,57.69,506754007,Safeway,New York
1331,3.49,421047592,Safeway,New York
1332,9.39,555173446,Safeway,New York
1333,27.89,399409590,Safeway,New York
1334,24.19,361981249,Safeway,New York
1335,46.09,514293895,Safeway,New York
1336,20.09,599052834,Safeway,New York
1337,22.99,677674656,Safeway,New York
1338,13.99,218958254,Safeway,New York
1339,11.29,565170341,Safeway,New York
1340,65.79,987411986,Safeway,New York
1341,39.09,829968022,Safeway,New York
1342,31.79,129833275,Safeway,New York
1343,29.79,256001467,Safeway,New York
1344,28.79,836817411,Safeway,New York
1345,59.09,300705072,Safeway,New York
1346,8.29,157129774,Safeway,New York
1347,1.89,694468735,Safeway,New York
1348,68.79,269567447,Safeway,New York
1349,14.49,503736553,Safeway,New York
1350,18.19,907400779,Safeway,New York
1351,58.59,637471150,Safeway,New York
1352,37.99,750854309,Safeway,New York
1353,13.59,95862680,Safeway,New York
1354,9.69,371889838,Safeway,New York
1355,66.49,995798889,Safeway,New York
1356,29.59,894764703,Safeway,New York
1357,17.19,789986401,Safeway,New York
1358,24.99,855000437,Safeway,New York
1359,32.99,678539677,Safeway,New York
1360,6.09,68034486,Safeway,New York
1361,32.99,644054876,Safeway,New York
1362,36.29,962019991,Safeway,New York
1363,66.19,27866264,Safeway,New York
1364,39.59,95866554,Safeway,New York
1365,61.79,861871758,Safeway,New York
1366,13.69,69584995,Safeway,New York
1367,68.49,437067209,Safeway,New York
1368,17.89,306887951,Safeway,New York
1369,9.39,16729338,Safeway,New York
1370,47.09,312588009,Safeway,New York
1371,49.39,831639757,Safeway,New York
1372,69.99,421176959,Safeway,New York
1373,45.79,314205929,Safeway,New York
1374,22.09,817162115,Safeway,New York
1375,40.29,269161785,Safeway,New York
1376,33.09,832713642,Safeway,New York
1377,40.19,445351739,Safeway,New York
1378,15.49,440219593,Safeway,New York
1379,60.39,849425547,Safeway,New York
1380,53.29,904714463,Safeway,New York
1381,15.09,387815880,Safeway,New York
1382,38.79,61566790,Safeway,New York
1383,7.49,643629043,Safeway,New York
1384,15.39,930355523,Safeway,New York
1385,46.59,808274867,Safeway,New York
1386,52.39,992125856,Safeway,New York
1387,20.89,870721732,Safeway,New York
1388,2.29,375780233,Safeway,New York
1389,22.39,744486125,Safeway,New York
1390,37.69,119616993,Safeway,New York
1391,37.89,130358296,Safeway,New York
1392,17.29,826771870,Safeway,New York
1393,6.19,861024387,Safeway,New York
1394,9.39,296847415,Safeway,New York
1395,17.49,650943158,Safeway,New York
1396,16.39,136528713,Safeway,New York
1397,32.09,154602616,Safeway,New York
1398,48.59,311513952,Safeway,New York
1399,35.29,300970093,Safeway,New York
1400,25.89,110497121,Safeway,New York
1401,65.99,549838046,Safeway,New York
1402,26.69,61278034,Safeway,New York
1403,43.39,768547166,Safeway,New York
1404,11.39,628622442,Safeway,New York
1405,36.29,327660050,Safeway,New York
1406,20.09,278354885,Safeway,New York
1407,57.79,388544851,Safeway,New York
1408,45.49,38399923,Safeway,New York
1409,34.99,142252924,Safeway,New York
1410,58.19,22976162,Safeway,New York
1411,6.09,11873171,Safeway,New York
1412,26.49,694669999,Safeway,New York
1413,23.49,127821311,Safeway,New York
1414,38.69,771066892,Safeway,New York
1415,59.79,86262532,Safeway,New York
1416,42.29,286798599,Safeway,New York
1417,33.39,472559312,Safeway,New York
1418,9.29,737000536,Safeway,New York
1419,62.99,955026913,Safeway,New York
1420,17.99,667968672,Safeway,New York
1421,24.69,236968723,Safeway,New York
1422,60.89,854689154,Safeway,New York
1423,18.89,418444428,Safeway,New York
1424,68.49,976976235,Safeway,New York
1425,18.99,303796970,Safeway,New York
1426,46.29,405988807,Safeway,New York
1427,57.59,145210517,Safeway,New York
1428,51.69,70324549,Safeway,New York
1429,32.49,277014097,Safeway,New York
1430,68.19,353626798,Safeway,New York
1431,34.19,535286391,Safeway,New York
1432,57.89,685061388,Safeway,New York
1433,38.99,240879755,Safeway,New York
1434,60.79,531867954,Safeway,New York
1435,21.79,928259579,Safeway,New York
