,Price,UPC,Banner,Region
0,24.95,268588472,Walmart,Northern California
1,49.71,475245085,Walmart,Northern California
2,25.75,126967843,Walmart,Northern California
3,18.81,708930835,Walmart,Northern California
4,33.32,325885139,Walmart,Northern California
5,40.43,509419735,Walmart,Northern California
6,35.1,736362595,Walmart,Northern California
7,33.65,652377244,Walmart,Northern California
8,22.3,277394644,Walmart,Northern California
9,12.32,996849471,Walmart,Northern California
10,18.25,278354885,Walmart,Northern California
11,17.35,215480572,Walmart,Northern California
12,9.53,526069074,Walmart,Northern California
13,9.94,265077864,Walmart,Northern California
14,55.21,627831552,Walmart,Northern California
15,36.82,992105314,Walmart,Northern California
16,61.56,39408244,Walmart,Northern California
17,1.34,372268051,Walmart,Northern California
18,32.01,375916960,Walmart,Northern California
19,44.76,742726716,Walmart,Northern California
20,2.65,243131192,Walmart,Northern California
21,52.15,388544851,Walmart,Northern California
22,48.86,905914857,Walmart,Northern California
23,2.22,226080317,Walmart,Northern California
24,32.2,502816606,Walmart,Northern California
25,61.77,986134213,Walmart,Northern California
26,16.64,714264288,Walmart,Northern California
27,20.64,585091176,Walmart,Northern California
28,38.82,645118810,Walmart,Northern California
29,56.14,81313305,Walmart,Northern California
30,37.47,213387822,Walmart,Northern California
31,9.23,226008184,Walmart,Northern California
32,14.12,252888653,Walmart,Northern California
33,12.8,561425157,Walmart,Northern California
34,39.06,396134202,Walmart,Northern California
35,47.3,546802474,Walmart,Northern California
36,35.67,333664376,Walmart,Northern California
37,62.82,981510405,Walmart,Northern California
38,38.67,90756884,Walmart,Northern California
39,6.21,19696884,Walmart,Northern California
40,50.26,303530277,Walmart,Northern California
41,46.64,173173585,Walmart,Northern California
42,57.75,506732002,Walmart,Northern California
43,13.84,60042797,Walmart,Northern California
44,24.25,795937333,Walmart,Northern California
45,17.61,916097175,Walmart,Northern California
46,37.8,291765113,Walmart,Northern California
47,48.24,963229417,Walmart,Northern California
48,26.97,256001467,Walmart,Northern California
49,3.97,205698731,Walmart,Northern California
50,23.1,899571200,Walmart,Northern California
