,Price,UPC,Banner,Region
7746,37.85,311513952,Walmart,Texas
7747,16.33,793865483,Walmart,Texas
7748,33.23,774342015,Walmart,Texas
7749,36.33,607409332,Walmart,Texas
7750,16.41,688858216,Walmart,Texas
7751,34.77,113224794,Walmart,Texas
7752,38.95,340260209,Walmart,Texas
7753,15.56,471370637,Walmart,Texas
7754,30.11,61566790,Walmart,Texas
7755,4.74,846637828,Walmart,Texas
7756,41.96,59479815,Walmart,Texas
7757,52.13,545019950,Walmart,Texas
7758,54.11,158953776,Walmart,Texas
7759,51.17,144644625,Walmart,Texas
7760,17.32,852479948,Walmart,Texas
7761,50.25,350639776,Walmart,Texas
7762,21.41,783845705,Walmart,Texas
7763,49.74,506732002,Walmart,Texas
7764,42.79,301161010,Walmart,Texas
7765,19.2,277394644,Walmart,Texas
7766,2.7,541222561,Walmart,Texas
7767,33.5,587816654,Walmart,Texas
7768,44.43,565229692,Walmart,Texas
7769,7.15,340478827,Walmart,Texas
7770,49.94,504139198,Walmart,Texas
7771,39.65,583333446,Walmart,Texas
7772,17.63,285189163,Walmart,Texas
7773,22.36,47158754,Walmart,Texas
7774,43.71,101201265,Walmart,Texas
7775,46.02,200253393,Walmart,Texas
7776,22.36,360754991,Walmart,Texas
7777,38.47,831639757,Walmart,Texas
7778,17.26,817162115,Walmart,Texas
7779,27.55,228431403,Walmart,Texas
7780,34.53,55404606,Walmart,Texas
7781,42.04,905914857,Walmart,Texas
7782,39.84,790347148,Walmart,Texas
7783,53.75,584598491,Walmart,Texas
7784,43.63,698731992,Walmart,Texas
7785,32.31,860167579,Walmart,Texas
7786,29.51,468699741,Walmart,Texas
7787,16.74,48258595,Walmart,Texas
7788,38.14,975793603,Walmart,Texas
7789,3.52,75242878,Walmart,Texas
7790,13.46,789986401,Walmart,Texas
7791,39.25,842621232,Walmart,Texas
7792,31.21,122484761,Walmart,Texas
7793,15.13,674159443,Walmart,Texas
7794,35.57,872889619,Walmart,Texas
7795,15.74,278354885,Walmart,Texas
7796,43.55,393028851,Walmart,Texas
7797,43.91,971923169,Walmart,Texas
7798,25.77,927879675,Walmart,Texas
7799,2.3,592499340,Walmart,Texas
7800,47.11,768900012,Walmart,Texas
7801,50.21,899819893,Walmart,Texas
7802,30.83,373656227,Walmart,Texas
7803,14.7,805082512,Walmart,Texas
7804,29.84,614172105,Walmart,Texas
7805,54.44,715494692,Walmart,Texas
7806,15.22,962420701,Walmart,Texas
7807,35.92,827531126,Walmart,Texas
7808,52.55,692276824,Walmart,Texas
7809,38.41,804094528,Walmart,Texas
7810,8.2,526069074,Walmart,Texas
7811,16.37,152458350,Walmart,Texas
7812,34.8,237280009,Walmart,Texas
7813,23.47,186497742,Walmart,Texas
7814,36.52,127838957,Walmart,Texas
7815,4.53,649976289,Walmart,Texas
7816,15.84,25313327,Walmart,Texas
7817,7.36,21872584,Walmart,Texas
7818,53.6,492209870,Walmart,Texas
7819,3.83,822316142,Walmart,Texas
7820,18.32,94769945,Walmart,Texas
7821,3.33,16829288,Walmart,Texas
7822,28.21,327660050,Walmart,Texas
7823,23.45,306137567,Walmart,Texas
7824,47.31,531867954,Walmart,Texas
7825,6.15,296821950,Walmart,Texas
7826,2.81,17066659,Walmart,Texas
7827,0.81,604272498,Walmart,Texas
7828,50.05,514987291,Walmart,Texas
7829,36.74,864892235,Walmart,Texas
7830,28.85,526212256,Walmart,Texas
7831,26.34,204071291,Walmart,Texas
7832,5.54,866698043,Walmart,Texas
7833,8.95,564014969,Walmart,Texas
7834,44.32,287415946,Walmart,Texas
7835,19.37,118708197,Walmart,Texas
7836,17.62,543464804,Walmart,Texas
7837,37.96,508604923,Walmart,Texas
7838,12.45,243934119,Walmart,Texas
7839,20.74,39601228,Walmart,Texas
7840,52.33,99830442,Walmart,Texas
7841,30.37,182310151,Walmart,Texas
7842,44.06,477539026,Walmart,Texas
7843,39.82,174429227,Walmart,Texas
7844,22.34,99583114,Walmart,Texas
7845,6.51,744228999,Walmart,Texas
7846,24.04,654483249,Walmart,Texas
7847,2.23,243131192,Walmart,Texas
7848,35.26,172380215,Walmart,Texas
7849,20.2,569684083,Walmart,Texas
7850,8.92,905792642,Walmart,Texas
7851,29.66,750854309,Walmart,Texas
7852,51.14,987411986,Walmart,Texas
7853,22.94,428456157,Walmart,Texas
7854,26.03,675134953,Walmart,Texas
7855,46.32,273984951,Walmart,Texas
7856,40.75,683028909,Walmart,Texas
7857,11.27,447640332,Walmart,Texas
7858,34.57,431156925,Walmart,Texas
7859,48.51,272466316,Walmart,Texas
7860,4.21,266112120,Walmart,Texas
7861,3.24,701377201,Walmart,Texas
7862,23.94,23493525,Walmart,Texas
7863,32.96,212886542,Walmart,Texas
7864,28.72,57394222,Walmart,Texas
7865,27.66,375916960,Walmart,Texas
7866,3.97,484526970,Walmart,Texas
7867,34.15,794251522,Walmart,Texas
7868,1.12,77460052,Walmart,Texas
7869,47.92,952287274,Walmart,Texas
7870,14.04,885481376,Walmart,Texas
7871,37.1,339765937,Walmart,Texas
7872,8.04,127887048,Walmart,Texas
7873,44.82,826777526,Walmart,Texas
7874,24.92,98441419,Walmart,Texas
7875,24.22,315128578,Walmart,Texas
7876,36.15,769464973,Walmart,Texas
7877,7.23,60193187,Walmart,Texas
7878,48.84,545319478,Walmart,Texas
7879,42.64,557394018,Walmart,Texas
7880,46.34,451469731,Walmart,Texas
7881,26.06,472559312,Walmart,Texas
7882,13.05,373709792,Walmart,Texas
7883,45.92,300705072,Walmart,Texas
7884,35.9,416642778,Walmart,Texas
7885,7.95,226008184,Walmart,Texas
7886,22.17,473279874,Walmart,Texas
7887,15.95,726593797,Walmart,Texas
7888,9.75,702239031,Walmart,Texas
7889,10.15,358265858,Walmart,Texas
7890,49.31,802480036,Walmart,Texas
7891,53.47,269567447,Walmart,Texas
7892,1.15,372268051,Walmart,Texas
7893,13.61,790024227,Walmart,Texas
7894,41.95,275219414,Walmart,Texas
7895,28.47,486482090,Walmart,Texas
7896,21.13,245619737,Walmart,Texas
7897,20.25,646726630,Walmart,Texas
7898,4.46,236468029,Walmart,Texas
7899,1.34,509116779,Walmart,Texas
7900,10.5,373413450,Walmart,Texas
7901,20.67,694669999,Walmart,Texas
7902,40.75,992125856,Walmart,Texas
7903,48.06,367626432,Walmart,Texas
7904,14.06,667968672,Walmart,Texas
7905,52.22,266788198,Walmart,Texas
7906,43.73,391122766,Walmart,Texas
7907,35.74,292740862,Walmart,Texas
7908,4.76,872082334,Walmart,Texas
7909,32.32,81927167,Walmart,Texas
7910,13.35,51294147,Walmart,Texas
7911,39.63,836742374,Walmart,Texas
7912,26.92,354630366,Walmart,Texas
7913,29.55,130358296,Walmart,Texas
7914,53.34,751783597,Walmart,Texas
7915,34.1,614290704,Walmart,Texas
7916,27.35,327470693,Walmart,Texas
7917,36.63,312588009,Walmart,Texas
7918,32.81,286798599,Walmart,Texas
7919,37.85,584200676,Walmart,Texas
7920,8.1,713032211,Walmart,Texas
7921,7.45,489000444,Walmart,Texas
7922,1.15,979616943,Walmart,Texas
7923,14.32,714264288,Walmart,Texas
7924,50.22,629512894,Walmart,Texas
7925,36.83,321130189,Walmart,Texas
7926,14.93,215480572,Walmart,Texas
7927,44.21,169472387,Walmart,Texas
7928,34.35,981620604,Walmart,Texas
7929,24.76,129833275,Walmart,Texas
7930,27.73,19911643,Walmart,Texas
7931,35.16,897422303,Walmart,Texas
7932,10.13,286906735,Walmart,Texas
7933,43.46,162356142,Walmart,Texas
7934,33.81,321012038,Walmart,Texas
7935,0.86,557637639,Walmart,Texas
7936,51.2,591915659,Walmart,Texas
7937,11.93,996262978,Walmart,Texas
7938,52.34,38126522,Walmart,Texas
7939,22.67,311693284,Walmart,Texas
7940,4.93,363196884,Walmart,Texas
7941,47.05,441947799,Walmart,Texas
7942,19.1,435304991,Walmart,Texas
7943,28.26,962019991,Walmart,Texas
7944,16.36,870721732,Walmart,Texas
7945,30.64,333664376,Walmart,Texas
7946,45.57,637471150,Walmart,Texas
7947,10.66,95862680,Walmart,Texas
7948,12.02,426268457,Walmart,Texas
7949,15.52,931390073,Walmart,Texas
7950,15.61,922747986,Walmart,Texas
7951,4.61,449986246,Walmart,Texas
7952,51.75,70124770,Walmart,Texas
7953,35.82,443127155,Walmart,Texas
7954,31.47,939282782,Walmart,Texas
7955,37.63,332996724,Walmart,Texas
7956,39.2,938758588,Walmart,Texas
7957,31.56,481195187,Walmart,Texas
7958,39.56,723419379,Walmart,Texas
7959,2.13,200021055,Walmart,Texas
7960,13.72,763083923,Walmart,Texas
7961,32.22,213387822,Walmart,Texas
7962,24.61,151145905,Walmart,Texas
7963,38.96,52851370,Walmart,Texas
7964,51.67,236677062,Walmart,Texas
7965,48.04,124091247,Walmart,Texas
7966,54.16,276801250,Walmart,Texas
7967,50.43,470178735,Walmart,Texas
7968,32.42,253141402,Walmart,Texas
7969,24.42,641131808,Walmart,Texas
